COMPANY NAME,Agent,Disposition,Remarks,HQ,links
"""BINGO"" d.o.o. Tuzla",,,,,
"""Elektromreža Srbije"" Beograd Akcionarsko društvo",,,,,
"""EPICENTR N"" LLC LLC",,,,,
"""Filli"" StahlgroßhandelsgesmbH",,,,,
"""Magnus"" Alicja Franczyk Slawomir Franczyk sp. j.",,,,,
"""MORPOL"" S.A.",,,,,
"""System-Software CONSULT/R"" EDV- Beratungs- und Dienstleistungs GmbH",,,,,
"(Morsa)Mayoreo Occidental Refaccionarios , S.A. de C.V.",,,,,
088-UHS OF DELAWARE INC,,,,,
1 Utopia Berhad,,,,,
"1&D Hoidings Co., Ltd.",,,,,
10 Roads Express,,,,,
"100% BANCO, BANCO UNIVERSAL, C.A.",,,,,
"10000 Sound Information Industry Co., Lt d.",,,,,
108 Emergency Medical Transport Services East (Up),,,,,
11 88 0 Internet Services AG,,,,,
1127770 B.C. Ltd,,,,,
12.18. Investment Management Gmbh,,,,,
121° REGGIMENTO ARTIGLIERIA CONTROAEREI 'RAVENNA' - SEZIONE COORDINAMENTO AMMINISTRATIVO,,,,,
13859380 Canada Inc,,,,,
14M Marketing Corporation,,,,,
150 INVESTMENTS PTY LTD,,,,,
151 Property,,,,,
1582956 Alberta Ltd,,,,,
165531 Canada Inc.,,,,,
1732187 Ontario Inc,,,,,
174 Power Global Corporation,,,,,
177293 Canada Ltd,,,,,
1-800 Contacts Inc,,,,,
"1-800-Flowers.com, Inc.",,,,,
"1888 Mills, LLC",,,,,
"1980 Sunset Point Road, LLC",,,,,
1986114 Alberta Inc,,,,,
"1a Auto, Inc.",,,,,
"1life Healthcare, Inc.",,,,,
"1st Lake Properties, Inc.",,,,,
"2 Rinkan Yellow Hat, K.K.",,,,,
2 Sisters Food Group,,,,,
2.0 Partners LLC,,,,,
2063414 Ontario Limited,,,,,
20rtz First Rent A Car AB,,,,,
21 Century Real Estate Wuhan Haoxinju Franchise Outlet Yangyuan Branch,,,,,
21 Chemical Limited Liability Company,,,,,
21 Chemical One Member Limited Liability Company,,,,,
21 INVEST FRANCE,,,,,
2175371 CANADA INC.,,,,,
"21st Century Oncology Holdings, Inc",,,,,
"21st Century Oncology Investments, LLC",,,,,
21st Century Resorts Holdings Pty Ltd,,,,,
22 Delhi Pty Ltd,,,,,
"2236375 Ontario Inc., & 2236376 Ontario Inc. Doing business as Patriot Forge Co",,,,,
24 SHOPPING COMPANY LIMITED,,,,,
2543-3533 Qubec Inc,,,,,
263 Property Pty. Limited,,,,,
28 Corp Co. Ltd,,,,,
2809664 Canada Inc.,,,,,
2970-7528 Québec Inc,,,,,
2C Solution S.r.l.,,,,,
2EMC2 SPA,,,,,
"2ND STREET CO.,LTD.",,,,,
2Nd Street Corporation,,,,,
2P Commercial Agency s.r.o.,,,,,
2W Ecobank S.A.,,,,,
2Η ΔΥΠΕ ΠΕΙΡΑΙΩΣ ΚΑΙ ΑΙΓΑΙΟΥ ΔΙΟΙΚΗΤΙΚΕΣ ΥΓΕΙΟΝΟΜΙΚΕΣ ΥΠΗΡΕΣΙΕΣ,,,,,
3 Banken IT GmbH,,,,,
3 E Handels- und Dienstleistungs-AG,,,,,
"3 UNICORNS GENERAL TRADING AND CONTRACTING COMPNAY,WLL",,,,,
30/4 Garment And Leather Product Co,,,,,
30-4 Garment Export Corporation,,,,,
3107 Willow LLC,,,,,
313 Acquisition LLC,,,,,
317 Morphett Pty Ltd,,,,,
35 Albert Road Pty Ltd,,,,,
3618358 Canada Inc,,,,,
"3801 Flagler Supermarket, LLC",,,,,
3860469 Canada Inc,,,,,
3A (Vietnam) Nutrition Company Limited - Nha Trang Khanh Hoa Branch,,,,,
3A Composites USA Inc. Benton Manufacturing Facility,,,,,
3A COOP ALIMENTARISTI ASSOCIATI ASTIGIAN I A RL,,,,,
3A NUTRITION (VIETNAM) COMPANY LIMITED,,,,,
3B-Fibreglass SPRL,,,,,
"3cm Holdings, LLC",,,,,
3F Filippi S.p.A.,,,,,
3F Industries limited,,,,,
3i Group Plc,,,,,
3M Argentina S.A.C.I.F.I.A.,,,,,
3M BRICOLAGE ET BATIMENT,,,,,
3M Company,dionesro,Scored,2,Germany,
3M Deutschland GmbH Membranes Business Unit,,,,,
3M do Brasil Ltda.,,,,,
3M ESPAÑA SLU,,,,,
3M Hong Kong Limited,,,,,
3M INCORPORACOES IMOBILIARIAS LTDA,,,,,
3M Japan Innovation Limited,,,,,
3M Nederland B.V.,,,,,
3M New Zealand Limited,,,,,
3M Occupational Safety LLC,,,,,
3M Panama Pacifico S. de R.L.,,,,,
3M Peru S.A.,,,,,
3M Seremban (Malaysia) Sdn. Bhd.,,,,,
3M Svenska AB,,,,,
"3M Technical Ceramics, Inc.",,,,,
3M Technologies (S) Pte Ltd,,,,,
3M Thailand Limited,,,,,
3M Viet Nam Company Limited - Representative Office,,,,,
3md Inc.,,,,,
3P HOLDING,,,,,
3P.M. SHENZHEN MANUFACTURING LIMITED,,,,,
"3Q CO., LTD.",,,,,
3Q Holdings Limited,,,,,
"3s Services, LLC",,,,,
3Shape A/S,,,,,
3SI BTOC Département Financier,,,,,
3T WORLDWIDE QRI (NIGERIA) LIMITED,,,,,
3U HOLDING AG,,,,,
3W DYSTRYBUCJA BUDOWLANA S A,,,,,
"4 ORANGES CO., LTD",,,,,
4233964 Canada Inc.,,,,,
42K Pty Limited,,,,,
440 Ford Lincoln Inc.,,,,,
459 Church Street Developments Pty Ltd,rrmagluyan,No Company Website/Linkedin,no company linkedin,,
"48Forty Solutions, LLC",rrmagluyan,No Company Website/Linkedin,no valid resources,,
499 TAQUARAL QUATRO ENERGIA SPE LTDA,rrmagluyan,Invalid Geo,no employees on target geo,Brazil,
4HEALTH SERVICOS MEDICOS - SCP HUGO,rrmagluyan,No Company Website/Linkedin,no company linkedin,,
4IMPRINT GROUP PLC,rrmagluyan,Invalid Geo,no employees on target geo,United States,
4K AUTOMOTIVE GROUP  PTY LTD,rrmagluyan,Invalid Geo,no employees on target geo,United States,
4K PRESTIGE PTY LIMITED,,,,,
4L Technologies Inc.,,,,,
4moms,,,,,
"4th & Folsom Associates, L.P.",,,,,
"5.11 Ta, Inc.",,,,,
511670 Alberta Ltd,,,,,
539899 Alberta Ltd.,,,,,
599681 Saskatchewan Ltd.,,,,,
5M COMERCIO ATACADISTA E VAREJISTA DE ALIMENTOS LTDA,,,,,
5N Plus Lübeck GmbH,,,,,
5PRO Partners Sp. z o.o.,,,,,
